Designator,Mid X,Mid Y,Rotation,Layer
C1_25,9.198745,-50.699686,90.0,top
C1_24,29.598745,-30.299686,90.0,top
C1_23,49.998745,-40.499686,90.0,top
C1_22,19.398745,-9.899686,90.0,top
C1_21,29.598745,-9.899686,90.0,top
C1_20,19.398745,-20.099686,90.0,top
C1_19,39.798745,-40.499686,90.0,top
C1_18,49.998745,-20.099686,90.0,top
C1_17,19.398745,-40.499686,90.0,top
C1_16,9.198745,-30.299686,90.0,top
C1_15,9.198745,-9.899686,90.0,top
C1_14,9.198745,-40.499686,90.0,top
C1_13,19.398745,-50.699686,90.0,top
C1_12,29.598745,-20.099686,90.0,top
C1_11,9.198745,-20.099686,90.0,top
C1_10,39.798745,-50.699686,90.0,top
C1_9,39.798745,-30.299686,90.0,top
C1_8,49.998745,-9.899686,90.0,top
C1_7,39.798745,-9.899686,90.0,top
C1_6,29.598745,-40.499686,90.0,top
C1_5,29.598745,-50.699686,90.0,top
C1_4,49.998745,-50.699686,90.0,top
C1_3,39.798745,-20.099686,90.0,top
C1_2,49.998745,-30.299686,90.0,top
C1,19.398745,-30.299686,90.0,top
C1001_25,20.798745,-49.699686,90.0,top
C1001_24,20.798745,-39.499686,90.0,top
C1001_23,20.798745,-8.899686,90.0,top
C1001_22,10.598745,-19.099686,90.0,top
C1001_21,10.598745,-8.899686,90.0,top
C1001_20,10.598745,-49.699686,90.0,top
C1001_19,41.198745,-8.899686,90.0,top
C1001_18,10.598745,-29.299686,90.0,top
C1001_17,41.198745,-19.099686,90.0,top
C1001_16,41.198745,-49.699686,90.0,top
C1001_15,30.998745,-49.699686,90.0,top
C1001_14,51.398745,-19.099686,90.0,top
C1001_13,51.398745,-39.499686,90.0,top
C1001_12,20.798745,-19.099686,90.0,top
C1001_11,51.398745,-29.299686,90.0,top
C1001_10,51.398745,-8.899686,90.0,top
C1001_9,30.998745,-39.499686,90.0,top
C1001_8,10.598745,-39.499686,90.0,top
C1001_7,41.198745,-39.499686,90.0,top
C1001_6,41.198745,-29.299686,90.0,top
