Ref,Val,Package,PosX,PosY,Rot,Side
"C1001","100nF","C_0402_1005Metric",139.520000,-71.000000,180.000000,top
"D1","YELLOW LED","LED_0402_1005Metric",141.737053,-69.697053,135.000000,top
"D4","YELLOW LED","LED_0402_1005Metric",142.710000,-72.032501,90.000000,top
"D1001","YELLOW LED","LED_0402_1005Metric",139.382501,-68.720000,180.000000,top
"D1002","YELLOW LED","LED_0402_1005Metric",136.010000,-72.030000,-90.000000,top
"D1003","YELLOW LED","LED_0402_1005Metric",137.007053,-74.467053,-45.000000,top
"D1004","YELLOW LED","LED_0402_1005Metric",139.390000,-75.450000,0.000000,top
"D1005","YELLOW LED","LED_0402_1005Metric",139.520000,-72.000000,180.000000,top
"FID1003","Fiducial","Fiducial_0.5mm_Mask1mm",145.320000,-73.800000,0.000000,top
"R1","1M","R_0402_1005Metric",141.800000,-74.460000,45.000000,top
"U3","ATtiny20-UUR","WLCSP-12_1.403x1.555mm_Layout6x4_P0.4mm_Stagger",139.620000,-73.570000,0.000000,top
